Born,90s,Gls,Ast,CrdY,CrdR,Pos_format,Player_format
2005,0,0,0,0,0,1,638
2001,24,1,2,6,0,1,639
2000,34,1,7,5,0,1,640
2001,14,0,0,4,0,1,641
1991,7,0,0,3,0,1,642
1994,19,0,0,0,0,1,643
1997,27,2,0,1,0,1,644
1998,3,0,0,1,0,1,645
1998,29,0,0,4,0,1,646
2003,23,1,1,6,0,1,647
1997,0,0,0,0,0,1,648
1986,25,2,0,2,0,1,649
1998,28,0,2,5,0,1,650
2002,0,0,0,0,0,1,651
1987,18,0,2,2,1,1,652
1990,25,1,10,5,0,1,653
1992,26,0,2,7,0,1,654
2001,19,0,2,2,0,1,655
1993,26,1,1,8,0,1,656
2004,0,0,0,0,0,1,657
1993,17,2,0,6,1,1,658
2003,10,0,0,1,0,1,659
1995,1,0,0,0,0,1,660
2002,2,0,0,0,0,1,661
2002,8,0,1,2,0,1,662
1996,1,0,0,0,1,1,663
1997,12,2,2,1,0,1,664
2000,10,0,0,1,0,1,665
1997,36,3,0,9,0,1,666
2000,14,3,1,3,0,1,667
1995,25,1,0,4,0,1,668
1995,12,2,0,4,0,1,669
1996,12,0,5,3,1,1,670
2001,0,0,0,0,0,1,671
1993,15,1,2,0,0,1,672
1999,30,3,0,11,1,1,673
1999,0,0,0,0,0,1,674
2005,1,1,1,1,0,1,675
1997,19,1,1,5,0,1,676
2005,0,0,0,0,0,1,677
1994,7,0,0,1,0,1,678
1989,4,0,0,0,0,1,679
1991,24,0,2,6,0,1,680
1992,30,2,2,4,0,1,681
1999,2,1,0,0,0,1,682
1996,18,0,4,5,0,1,683
1991,1,0,0,0,0,1,684
1999,28,3,0,7,0,1,685
1991,4,0,0,0,0,1,686
1995,0,0,0,0,0,1,687
1998,9,0,0,1,0,1,688
2002,8,0,0,1,0,1,689
2000,4,1,0,0,0,1,690
2000,30,1,2,7,1,1,691
2002,7,1,0,0,0,1,692
2003,8,1,3,2,0,1,693
1992,24,3,1,7,1,1,694
1996,29,4,1,6,0,1,695
1991,16,2,1,3,1,1,696
1998,24,0,0,2,0,1,697
1994,24,0,2,6,1,1,698
1995,15,0,0,5,1,1,699
2003,1,0,0,0,0,1,700
2000,31,3,0,9,0,1,701
2000,1,0,0,1,0,1,702
1995,1,0,0,1,0,1,703
1988,3,0,0,0,0,1,704
1992,38,1,1,11,0,1,705
1990,33,1,2,6,0,1,706
2000,5,0,0,2,0,1,707
1999,23,0,1,4,0,1,708
2002,35,3,0,8,0,1,709
1996,1,0,0,0,0,1,710
1987,5,1,0,0,0,1,711
1999,30,0,3,5,0,1,712
1994,12,1,0,2,0,1,713
1993,28,2,0,7,0,1,714
1988,14,0,2,7,1,1,715
1997,26,0,4,5,0,1,716
1995,17,1,0,0,0,1,717
1996,3,0,0,0,0,1,710
2000,15,2,2,2,0,1,718
2001,0,0,0,0,0,1,719
2002,0,0,0,0,0,1,720
1999,16,0,0,5,0,1,721
1998,3,0,0,1,0,1,722
1996,28,0,1,3,1,1,723
1998,1,0,0,0,0,1,722
2002,20,2,0,4,0,1,724
2000,13,2,2,2,0,1,725
1998,13,0,1,3,0,1,726
1995,26,0,1,5,0,1,727
1985,23,0,1,6,0,1,728
2000,13,1,1,3,0,1,729
1992,13,0,1,2,0,1,730
1995,12,0,0,7,0,1,731
2005,30,2,0,5,0,1,732
1985,25,0,0,7,1,1,733
1996,24,0,1,8,1,1,734
2002,22,0,0,1,0,1,735
1999,16,1,0,1,0,1,736
1997,9,2,0,2,0,1,737
1997,19,2,0,2,0,1,737
2006,4,1,0,1,0,1,738
1995,23,2,2,0,0,1,739
2006,22,2,3,4,0,1,740
2002,37,1,0,5,0,1,741
1995,28,2,0,4,1,1,742
1998,24,3,4,6,0,1,743
1997,5,0,0,0,1,1,744
2002,6,0,0,2,0,1,745
1998,9,0,1,2,0,1,746
1994,1,1,0,1,0,1,747
2002,5,1,1,1,0,1,748
1995,13,0,0,1,1,1,749
2003,8,1,1,1,0,1,750
2004,1,0,0,0,0,1,751
2000,28,2,0,7,0,1,752
1998,23,2,3,4,1,1,753
2001,9,0,0,3,0,1,754
1990,3,0,0,0,0,1,755
1995,13,0,1,2,0,1,756
1995,21,2,1,1,0,1,757
2001,15,1,0,3,1,1,758
1989,31,2,0,5,0,1,759
1996,11,3,2,3,0,1,760
1996,24,4,0,13,2,1,761
2001,26,2,1,7,0,1,762
1993,14,0,0,5,0,1,763
1996,19,1,2,2,0,1,764
1991,14,1,2,7,0,1,765
2006,0,0,0,0,0,1,766
1988,26,3,1,1,0,1,767
2005,0,0,0,0,0,1,768
2000,1,0,0,0,0,1,769
1999,26,0,0,10,0,1,770
1999,14,1,5,3,0,1,771
1999,2,1,0,1,0,1,771
2002,2,0,0,0,0,1,772
1994,32,3,0,3,0,1,773
1987,31,4,0,5,0,1,774
1997,28,0,2,11,1,1,775
2000,16,0,1,3,0,1,776
1998,20,2,1,5,0,1,777
2005,11,0,0,1,0,1,778
1998,18,0,0,5,0,1,779
1996,19,1,1,3,0,1,780
1995,4,0,0,0,0,1,781
1999,29,2,0,11,1,1,782
1992,8,0,0,3,0,1,783
1993,21,1,3,3,0,1,784
1996,21,1,0,3,1,1,785
